@relation 'Hand-based-all-weka.filters.unsupervised.attribute.Remove-R1-31,75-97'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtfk2 numeric
@attribute ft2 numeric
@attribute dtsk2 numeric
@attribute dtfk3 numeric
@attribute ft3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute ft8 numeric
@attribute dtsk8 numeric
@attribute dtfk9 numeric
@attribute ft9 numeric
@attribute dtsk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute sum numeric
@attribute class {43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119}

@data
8,0,93,93,157,47,47,47,78,78,250,328,328,62,172,157,93,313,47,78,125,422,47,250,1078,94,172,62,78,344,140,234,63,47,125,78,62,125,125,78,31,94,6577,76
17,0,32,31,47,110,141,62,157,46,79,31,0,62,172,344,94,140,140,235,62,359,515,63,62,188,282,62,78,78,16,93,63,94,78,62,156,16,78,62,281,79,5172,76
8,0,156,297,47,78,125,78,15,78,250,328,0,63,172,47,63,62,109,141,62,94,125,94,0,47,140,62,78,344,140,234,63,47,125,78,79,31,109,78,31,94,4420,76
7,0,125,125,31,94,94,172,109,109,63,172,172,47,109,63,78,94,79,78,78,109,156,94,78,109,63,110,250,78,156,63,141,78,47,125,15,63,78,78,78,125,4252,77
0,16,94,78,125,78,78,62,63,156,16,78,0,31,109,78,94,62,109,94,15,110,109,94,141,78,110,78,78,63,110,47,62,109,94,62,410,94,62,109,172,125,3846,77
8,0,410,110,15,94,78,109,78,109,63,172,0,15,109,47,93,141,93,172,94,141,125,109,828,94,109,110,250,78,156,63,141,78,47,125,125,266,109,78,78,125,5502,77
691,0,93,93,94,78,78,891,78,78,234,94,94,47,94,63,984,63,63,218,47,79,109,62,78,156,78,78,78,78,63,140,94,78,828,78,78,297,78,63,219,78,6749,78
8,0,62,47,141,62,78,250,63,62,188,62,93,63,109,78,63,203,78,250,78,93,47,78,125,62,125,62,94,62,78,140,78,94,62,344,94,484,79,78,204,62,4935,78
398,0,94,78,94,62,47,235,62,78,234,94,141,203,109,219,78,125,78,375,47,62,78,94,110,141,78,78,78,78,63,140,94,78,828,78,62,375,63,63,219,78,6250,78
16,0,93,93,63,94,94,78,62,62,110,250,250,63,63,78,94,78,125,46,0,187,266,93,62,204,344,78,78,63,125,47,63,109,32,93,47,78,78,93,78,63,4202,79
