@relation Hand-based-all-weka.filters.unsupervised.attribute.Remove-R1-74

@attribute ME numeric
@attribute DIF1 numeric
@attribute ER numeric
@attribute DIF2 numeric
@attribute RI numeric
@attribute DIF3 numeric
@attribute CA numeric
@attribute DIF4 numeric
@attribute SE numeric
@attribute DIF5 numeric
@attribute IC numeric
@attribute DIF6 numeric
@attribute NO numeric
@attribute DIF7 numeric
@attribute RR numeric
@attribute DIF8 numeric
@attribute DE numeric
@attribute DIF9 numeric
@attribute EL numeric
@attribute DIF10 numeric
@attribute IR numeric
@attribute TOT numeric
@attribute STD numeric
@attribute class {43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119}

@data
65,-14,79,-105,184,15,169,-115,284,150,134,-87,221,69,152,-10,162,16,146,-26,172,1768,60.347479,86
203,-23,226,48,178,-49,227,58,169,-246,415,244,171,18,153,-39,192,24,168,-7,175,2277,73.012328,87
208,101,107,-103,210,-226,436,234,202,-175,377,179,198,45,153,19,134,-193,327,216,111,2463,109.623405,87
120,-40,160,-87,247,-68,315,54,261,-154,415,191,224,64,160,-32,192,24,168,-26,194,2456,84.096481,87
370,127,243,65,178,-173,351,166,185,-86,271,20,251,99,152,1,151,-236,387,262,125,2664,93.609634,88
125,-85,210,17,193,17,176,-8,184,-310,494,315,179,27,152,-16,168,25,143,-47,190,2214,100.071066,88
151,-51,202,53,149,-38,187,-6,193,-78,271,52,219,77,142,-9,151,-236,387,178,209,2261,71.486172,88
191,23,168,43,125,-96,221,52,169,-215,384,-398,782,644,138,-271,409,176,233,100,133,2953,195.516937,89
127,-25,152,34,118,-85,203,76,127,-246,373,237,136,-2,138,20,118,-36,154,-5,159,1805,73.417239,89
74,-68,142,-151,293,77,216,27,189,-195,384,193,191,47,144,-265,409,176,233,4,229,2504,101.266256,89
204,-31,235,68,167,-135,302,133,169,-264,433,188,245,-80,325,173,152,30,122,-13,135,2489,95.21249,90
244,59,185,15,170,-113,283,131,152,-1,153,-34,187,-138,325,157,168,24,144,52,92,2103,67.250008,90
97,-89,186,23,163,-92,255,64,191,-242,433,186,247,95,152,0,152,30,122,2,120,2118,93.946116,90
134,-70,204,112,92,-160,252,109,143,-93,236,110,126,11,115,6,109,32,77,-63,140,1628,57.664547,91
89,-40,129,65,64,-35,99,-46,145,44,101,-36,137,22,115,13,102,2,100,15,85,1166,23.899791,91
95,-82,177,65,112,37,75,-666,741,505,236,156,80,-28,108,-1,109,32,77,1,76,1886,195.34245,91
254,30,224,40,184,47,137,-45,182,-135,317,59,258,124,134,-68,202,33,169,-267,436,2497,88.369678,92
257,-138,395,272,123,-179,302,115,187,-54,241,39,202,68,134,-33,167,-4,171,-130,301,2480,82.958259,92
401,141,260,-199,459,141,318,151,167,-150,317,-315,632,510,122,-80,202,33,169,-1170,1339,4386,345.8844,92
193,-1,194,69,125,-29,154,-39,193,9,184,-11,195,-19,214,101,113,-1,114,16,98,1777,41.778855,93
173,77,96,-265,361,88,273,92,181,56,125,-18,143,-71,214,83,131,-27,158,22,136,1991,76.730698,93
189,-5,194,61,133,-138,271,64,207,23,184,53,131,-83,214,101,113,-1,114,-4,118,1868,51.592283,93
332,81,251,109,142,-559,701,514,187,-198,385,132,253,116,137,-35,172,82,90,-131,221,2871,169.692663,94
181,53,128,-9,137,-148,285,116,169,16,153,-1,154,17,137,-32,169,32,137,-13,150,1800,43.449448,94
126,-51,177,-66,243,6,237,20,217,-168,385,216,169,10,159,-13,172,82,90,-219,309,2284,83.965794,94
204,-62,266,130,136,-94,230,60,170,-196,366,181,185,35,150,-46,196,36,160,71,89,2152,73.672617,95
2778,2671,107,-73,180,-7,187,33,154,1,153,43,110,-40,150,-27,177,-61,238,-106,344,4578,786.056972,95
174,20,154,-62,216,24,192,9,183,-183,366,186,180,27,153,-43,196,36,160,81,79,2053,69.179871,95
343,113,230,-197,427,273,154,-15,169,-143,312,69,243,72,171,-49,220,137,83,-39,122,2474,102.243293,96
112,-72,184,-1202,1386,1191,195,-26,221,81,140,7,133,-38,171,3,168,-118,286,140,146,3142,368.056863,96
105,-63,168,50,118,-62,180,-25,205,-107,312,51,261,-634,895,675,220,137,83,-43,126,2673,227.093373,96
189,-159,348,283,65,-84,149,-78,227,38,189,64,125,-35,160,12,148,-231,379,162,217,2196,92.713831,97
120,-15,135,67,68,-85,153,-60,213,45,168,68,100,-60,160,-71,231,6,225,-3,228,1801,55.63109,97
185,49,136,-41,177,-2,179,10,169,-20,189,-24,213,61,152,4,148,-231,379,-17,396,2323,89.79512,97
200,-36,236,137,99,-89,188,20,168,-236,404,102,302,151,151,-6,157,-107,264,132,132,2301,87.594313,98
213,52,161,-6,167,15,152,-6,158,-6105,6263,6021,242,91,151,7,144,-51,195,-48,243,8089,1833.663943,98
110,-74,184,57,127,-148,275,105,170,-234,404,29,375,233,142,-15,157,-107,264,20,244,2452,98.956005,98
420,227,193,-118,311,84,227,33,194,43,151,-68,219,51,168,75,93,-17,110,20,90,2176,98.446755,99
147,19,128,36,92,-378,470,264,206,80,126,-58,184,16,168,-61,229,71,158,-54,212,2120,100.755239,99
102,31,71,-50,121,-109,230,1,229,78,151,-66,217,55,162,69,93,-17,110,-98,208,1694,58.905008,99
356,265,91,-44,135,-42,177,-7,184,23,161,-74,235,57,178,94,84,-36,120,52,68,1789,81.474257,100
85,0,85,-32,117,-134,251,64,187,82,105,-81,186,8,178,10,168,76,92,-429,521,1975,125.275986,100
142,6,136,-8,144,-46,190,50,140,-21,161,-50,211,76,135,51,84,-36,120,52,68,1531,40.933649,100
319,32,287,107,180,-136,316,91,225,0,225,-82,307,82,225,87,138,-73,211,23,188,2621,60.750458,101
233,92,141,-65,206,-93,299,76,223,-53,276,-4,280,55,225,29,196,-102,298,4,294,2671,51.015327,101
371,94,277,4,273,-66,339,69,270,45,225,-55,280,103,177,39,138,-73,211,-472,683,3244,145.066505,101
272,63,209,62,147,-87,234,44,190,-37,227,24,203,13,190,0,190,107,83,-18,101,2046,56.215656,102
137,-3,140,-1,141,-54,195,20,175,68,107,37,70,-120,190,31,159,71,88,-75,163,1565,40.356142,102
158,-6,164,52,112,-51,163,-512,675,448,227,-14,241,76,165,-25,190,107,83,-33,116,2294,161.701802,102
248,3,245,45,200,-32,232,35,197,82,115,-107,222,32,190,-69,259,-47,306,186,120,2334,57.14511,103
94,56,38,-79,117,24,93,-83,176,-132,308,88,220,30,190,26,164,-48,212,-38,250,1862,78.811282,103
136,-54,190,-261,451,310,141,-45,186,71,115,-104,219,37,182,-77,259,-47,306,165,141,2326,97.743914,103
299,188,111,-28,139,-203,342,155,187,-48,235,-18,253,32,221,110,111,-72,183,-53,236,2317,73.832612,104
249,133,116,15,101,-228,329,132,197,30,167,-41,208,-13,221,82,139,-987,1126,380,746,3599,319.200194,104
97,-113,210,46,164,-134,298,110,188,-47,235,0,235,96,139,28,111,-72,183,20,163,2023,58.86842,104
212,91,121,-28,149,-67,216,62,154,-18,172,-20,192,37,155,-11,166,22,144,3,141,1822,30.024233,105
161,7,154,1,153,-41,194,41,153,16,137,-52,189,34,155,-4,159,31,128,-34,162,1745,19.2212,105
140,-3,143,21,122,-94,216,40,176,4,172,-64,236,93,143,-23,166,22,144,-12,156,1814,34.317501,105
222,-46,268,43,225,15,210,-9,219,-38,257,33,224,51,173,-36,209,-659,868,622,246,3121,195.462575,106
310,-795,1105,869,236,89,147,-40,187,-101,288,103,185,12,173,-4,177,-32,209,-36,245,3262,272.800427,106
235,94,141,-13,154,-70,224,2,222,-35,257,46,211,56,155,-54,209,-659,868,587,281,2957,203.481605,106
140,-502,642,448,194,-11,205,42,163,-49,212,-21,233,105,128,-24,152,-88,240,88,152,2461,143.814527,107
173,18,155,-789,944,696,248,86,162,33,129,-49,178,50,128,-17,145,-59,204,68,136,2602,237.316819,107
117,-65,182,31,151,-205,356,184,172,-40,212,2,210,81,129,-23,152,-88,240,115,125,2046,68.841848,107
485,262,223,75,148,-554,702,482,220,-195,415,95,320,165,155,-11,166,-418,584,409,175,3593,192.962314,108
247,26,221,44,177,-183,360,163,197,-216,413,192,221,66,155,-30,185,-25,210,-154,364,2750,87.375054,108
265,139,126,-357,483,318,165,-31,196,-219,415,203,212,109,103,-63,166,-418,584,116,468,3183,167.152788,108
354,-519,873,512,361,-73,434,224,210,-86,296,39,257,95,162,-14,176,-62,238,14,224,3585,199.885695,109
271,73,198,-117,315,-88,403,212,191,-513,704,398,306,144,162,-16,178,-19,197,20,177,3102,159.158412,109
276,81,195,18,177,-188,365,108,257,-39,296,26,270,121,149,-27,176,-62,238,-159,397,2796,78.776669,109
260,-13,273,46,227,-291,518,296,222,-9,231,21,210,71,139,-23,162,-206,368,238,130,2740,111.403281,110
199,-454,653,462,191,75,116,-93,209,-23,232,-209,441,302,139,-33,172,-46,218,64,154,2724,159.222029,110
155,-7,162,-455,617,472,145,-77,222,-9,231,43,188,33,155,-7,162,-206,368,216,152,2557,142.962487,110
340,47,293,176,117,-1819,1936,1758,178,-113,291,7,284,109,175,-35,210,99,111,-25,136,4071,525.276776,111
208,-64,272,131,141,-27,168,-18,186,0,186,18,168,-7,175,-23,198,-4,202,30,172,2076,33.44874,111
188,9,179,-31,210,19,191,-40,231,-60,291,105,186,8,178,-32,210,99,111,-47,158,2133,44.793871,111
185,64,121,-3,124,12,112,24,88,-76,164,-95,259,69,190,102,88,0,88,-22,110,1529,54.464667,112
108,-24,132,-113,245,110,135,46,89,-37,126,27,99,-91,190,98,92,-291,383,287,96,1695,89.566126,112
134,55,79,-374,453,272,181,51,130,-34,164,19,145,3,142,54,88,0,88,-486,574,2178,161.515324,112
134,20,114,-6,120,-88,208,5,203,71,132,-535,667,514,153,29,124,-10,134,33,101,2090,161.857962,113
144,-10,154,54,100,-86,186,45,141,54,87,-69,156,3,153,51,102,-16,118,-9,127,1468,29.645788,113
78,-73,151,-152,303,205,98,-108,206,74,132,-13,145,8,137,13,124,-10,134,28,106,1614,61.402102,113
223,-71,294,128,166,-149,315,105,210,79,131,-54,185,-6,191,-30,221,57,164,29,135,2235,58.960696,114
110,-79,189,51,138,-123,261,61,200,42,158,-8,166,-25,191,-80,271,87,184,57,127,1995,50.589075,114
132,-81,213,48,165,-117,282,92,190,59,131,-89,220,45,175,-46,221,57,164,46,118,2011,48.827898,114
