Sigdist,AVXV,AYXV,VEL1Y,VEL1X,VEL4X,VEL4Y,VEL5,VEL6,VELCOR,Initdir,XSize,YSize,TotalTime,VeLXZero,VelYZero,AvPress,PIXELCENX,PIXELCENY,PTD,HDRATION,SET,DCHANGE,DUR1,DUR2,DUR3,DUR4,TIME3,TIME4,TIME5,TIME6,class
1030.35,0.07,0.01,-0.01,0.07,-2.1,-2.76,0.02,0.04,0.03,0,-0.05,6.82,1249.05,183.09,14.1,42,32,0.29,802.21,1088.29,80173230.44,6.82,14101,135,-4690,-9411,-8375,-5709,0,0,78
187.81,0.01,0.01,0,0,-35.33,0,0.36,0.26,0,0,-0.13,4.16,1202.37,289.17,15.82,41,41,0.42,995.97,1109.15,134014694.7,4.16,15822,120,-8421,-7401,-10331,-5475,8,0,78
386.16,0.03,0.01,0,0,-33,-32.79,0.35,-0.3,0,0,-0.05,6.62,1604.74,242.35,12.41,43,30,0.52,998.52,1098.06,100427024.2,6.62,12409,126,-6386,-6023,-7977,-4399,8,0,78
1569.31,0.06,0,-0.11,-0.02,-1.68,-39.88,-0.11,-0.12,0.06,0,0.1,9.21,1625.55,176.4,24.81,100,71,0.43,1191.53,1147.64,561688772.8,9.21,24809,203,-12542,-12267,-12791,-12001,0,17,79
1353.83,0.07,0,0.15,0.24,-0.93,0,-0.01,-0.04,0.06,0,0.09,9.11,1401.78,153.89,20.2,81,66,0.41,961.73,1130.14,342712396.2,9.11,20200,183,-7486,-12714,-10414,-9770,0,0,79
1330.05,0.07,0,0.03,0,-2.89,-230.3,-0.21,-0.37,0.08,0,0.18,11.45,1387.45,121.14,18.19,70,52,0.42,1070.97,1162.43,265879158.2,11.45,18185,166,-7827,-10358,-9344,-8791,0,0,79
2003.69,0.23,0,0.48,0.17,0.18,-827.21,0.04,0.48,0.07,0,-0.86,6.99,2007.79,287.21,8.61,17,19,0.32,1388.24,566.87,100575586.4,6.99,8614,84,-8490,-124,-4392,-4205,16,16,80
2243.25,0.26,-0.01,0.35,-0.2,0.79,108.7,0.33,0.29,0.04,0,-0.79,5.97,2251.73,376.88,8.71,20,23,0.32,1357.41,636.78,116431865,5.97,8706,79,-8397,-309,-4644,-4046,7,7,80
2181.27,0.3,-0.01,0,0,0.8,172.95,1.29,0.14,0.06,0,-0.84,4.84,2181.27,450.46,7.18,16,13,0.34,1191.12,646.92,70980128.15,4.84,7178,69,-6263,-915,-3885,-2897,16,16,80
992.83,0.04,0.01,-0.29,-0.09,-2.01,0,-0.09,0.02,0.01,0,0.03,4.44,1902.43,428.24,24.21,43,38,0.52,1091.06,538.37,409610490.6,4.44,24212,181,-21688,-2524,-9603,-14592,7,7,81
