VEL5,VEL6,TIME6,dtfk1,ft3,dtfk8,dtfk9,dtfk12,ft12,dtfk13,dtsk13,class
0.87269,0.379652,0.086514,0.870077,0.035915,0.290172,0.071646,0.202878,0,0.116761,0.178295,94
0.889142,0.374566,0.086514,0.002188,0.069585,0.146646,0.047256,0.202878,0.227053,0.116761,0.364341,94
0.834316,0.447877,0.086514,0.207877,0.139169,0.340094,1.364329,0.202878,0,0.293785,0.302326,94
0.810628,0.346852,0.086514,0,0.244669,0.293292,0.166159,0.135252,0.113527,0.177024,0.244186,95
0.810628,0.346852,0.086514,0,0.141414,0.340094,0.096037,0.135252,0.227053,0.293785,0.364341,95
0.810628,0.346852,0.086514,0,0.03367,0.293292,1.285061,0.135252,0.113527,0.354049,0.546512,95
0.893876,0.192721,0.035623,0.141958,0.141414,0.340094,0.118902,0.133813,0.301932,0.47081,0.484496,96
0.700709,1.40303,0.086514,0.026805,0.069585,0.24337,0.118902,0.179856,0.227053,0.47081,0.364341,96
0.883042,0.207204,0.086514,0.00465,0.105499,0.24337,0.309451,0.133813,0.301932,0.47081,0.422481,96
0.878099,0.211244,0.086514,0,0,0.146646,0.141768,0.044604,0.074879,0.587571,0.24031,97
0.878099,0.211244,0.086514,0,0.244669,0.390016,0.071646,0.11223,0.376812,0.116761,0.05814,97
0.881689,0.212811,0.086514,0.004376,0.175084,0.24337,1.309451,0.044604,0.074879,0.354049,0.24031,97
0.878209,0.209628,0.040712,0.00465,0.139169,0.24337,0.143293,0.11223,0.113527,0.293785,0.422481,98
0.877721,0.215043,0.086514,0.001915,0.210999,0.340094,0.239329,0.306475,0.227053,0.293785,0.302326,98
0.874392,0.209736,0.086514,0.004376,0.03367,0.24337,0.096037,0.11223,0.113527,0.350282,0.302326,98
0.881902,0.194293,0.035623,0,0.071829,0.293292,0.714939,0.090647,0.074879,0.180791,0.325581,99
0.887538,0.191013,0.035623,0,0.071829,0.143526,0.071646,0.044604,0.263285,0.060264,0,99
0.885381,0.192177,0.035623,0,0.03367,0.290172,0,0.090647,0.074879,0.060264,0.05814,99
0.880829,0.208191,0.035623,0.00465,0.208754,0.343214,0.262195,0.158273,0.036232,0.116761,0.062016,100
0.872414,0.205857,0.086514,0.00465,0.105499,0.293292,0.094512,0.11223,0.188406,0.233522,0.360465,100
0.873408,0.207083,0.081425,0.00465,0.246914,0.24337,0.928354,0.158273,0.036232,0.233522,0.302326,100
0.877745,0.209677,0.081425,0,0.071829,0.680187,0.190549,0.067626,0.379227,0.414313,0.624031,101
0.875672,0.211603,0.035623,0.001915,0.280584,0.926677,0.190549,0.067626,0.415459,2,2,101
0.865558,0.207457,0,0.030635,0.141414,0.343214,1.143293,0.067626,0.379227,0.350282,0.422481,101
0.865558,0.207457,0,0.030635,0.103255,0.343214,0.143293,0.11223,0,0.060264,0,102
0.898455,0.206159,0.035623,0,1.299663,0.24337,0.047256,0.135252,0.188406,0.293785,0.306202,102
0.881605,0.195442,0.035623,0.00465,0.071829,0.340094,1.190549,0.11223,0,0.354049,0.426357,102
0.881874,0.211444,0.040712,0.209519,0.421998,0.486739,0.094512,0.158273,0.565217,0.177024,0.426357,103
0.886934,2,0.086514,0.063457,0.210999,0.24337,0.237805,0.201439,0.152174,0.060264,0.182171,103
0.802369,0.720778,0.086514,0.075766,0.210999,0.146646,1.405488,0.158273,0.565217,0.233522,0.244186,103
0.878976,0.208456,0.076336,0.004103,0.105499,0.293292,0.143293,0.158273,0.263285,0.060264,0.124031,104
0.876042,0.206934,0.086514,0.004376,0.069585,0.293292,0.118902,0.158273,0.188406,0.060264,0.182171,104
0.87556,0.211352,0.086514,0.00465,0.175084,1.609984,1.262195,0.158273,0.263285,0.297552,0.364341,104
0.870109,0.207763,0.035623,0.00465,0.141414,0.24337,0.094512,0.090647,0.188406,0.177024,0.302326,105
0.868141,0.204448,0.035623,0.009026,0.141414,0.196568,0.143293,0.113669,0.224638,0.293785,0.24031,105
0.87687,0.209863,0.040712,0.001915,0.105499,0.24337,0.094512,0.090647,0.188406,0.237288,0.484496,105
0.896758,0.187433,2,0.001915,0.208754,0.24337,0.143293,0.156835,0.2657,0.354049,0.422481,106
0.967646,0.201145,0.035623,0,0.175084,0.340094,0.143293,0.269065,0.227053,0.354049,0.484496,106
0.878332,0.209558,0.035623,0.004376,0.141414,0.343214,0.190549,0.156835,0.2657,0.354049,0.546512,106
0.878324,0.208592,0,0.00465,0.035915,0.24337,0.905488,0.023022,0.2657,0.060264,0.364341,107
0.876228,0.209285,0,0.00465,0.035915,0.049922,0.167683,0.11223,0.263285,0,0.062016,107
0.877593,0.208874,0,0,0,0.24337,0,0.023022,0.2657,0.060264,0.302326,107
0.886408,0.212078,0,0,0.210999,0.293292,0.190549,0.11223,0.152174,0.354049,0.364341,108
0.875354,0.205087,0,0.00465,0.316498,0.343214,0.022866,0.202878,0.188406,0.293785,0.302326,108
0.875036,0.208089,0,0.00465,0.177329,0.24649,0,0.11223,0.152174,0.354049,0.364341,108
0.869283,0.207726,0,0,0.139169,0.293292,0.118902,0.135252,0.111111,0.237288,0.302326,109
0.873505,0.21368,0,0.084245,0.105499,0.293292,0.096037,0.179856,0.152174,0.237288,0.360465,109
0.867409,0.355605,0,0.088074,0.03367,0.293292,0.141768,0.135252,0.111111,0.237288,0.364341,109
0.877504,0.208456,0.035623,0.001915,0.208754,0.196568,0.141768,0.11223,0.454106,0.293785,0.302326,110
0.893101,0.198554,0.081425,0.001915,0.175084,0.24337,0.167683,0.22446,0.149758,0.237288,0.24031,110
0.890733,0.194005,0.086514,0.004376,0.244669,0.193448,0.167683,0.11223,0.454106,0.177024,0.364341,110
0.862269,0.198599,0.040712,0.554431,0.035915,0.439938,0.167683,0.179856,0.038647,0.293785,0.062016,111
0.870764,0.199016,0.081425,0.090263,0.105499,0.293292,0,0.158273,0.224638,0.233522,0.062016,111
0.85856,0.197188,0.040712,0.002188,0.071829,0.293292,1.310976,0.179856,0.038647,0.47081,0.422481,111
0.882903,0.196224,0.040712,0.400985,0.103255,0.829953,0,0.066187,0.224638,0.116761,0.182171,112
0.82298,0.274169,0.081425,0.087801,0.246914,0.486739,0.167683,2,0.152174,0.060264,0.364341,112
0.901434,0.200612,0.040712,0.06674,0.03367,0.096724,1.5,0.066187,0.224638,0.237288,0.604651,112
0.873381,0.211751,0.040712,0,0.069585,0.436817,0.166159,0.156835,0.188406,0,0.05814,113
0.876645,0.207419,0.035623,0,0.035915,0.536661,0.071646,0.044604,0.263285,0.354049,0.364341,113
0.876728,0.21146,0.035623,0,0.069585,0.24337,1.428354,0.156835,0.188406,0.293785,0.302326,113
0.879717,0.20811,0.086514,0,0.455668,0.24337,0.143293,0.202878,0.227053,0.354049,0.484496,114
0.877298,0.209697,0,0,0.069585,0.293292,0.02439,0.539568,0.188406,0.056497,0,114
0.872779,0.205929,0.035623,0.001915,0.035915,0.24337,0.167683,0.202878,0.227053,0.293785,0.546512,114
0.878731,0.211083,0.035623,0,0.316498,0.343214,0.143293,0.156835,0.2657,0.293785,0.302326,115
0.879919,0.213595,0.040712,0,1.088664,0.343214,0.214939,0.135252,0.227053,0.297552,0.302326,115
0.887283,0.222826,0.035623,0.002188,0.175084,0.24337,1.554878,0.156835,0.2657,0.354049,0.786822,115
0.872739,0.208698,0.086514,0,0.210999,0.343214,0.143293,0.021583,0.224638,0.116761,0.244186,116
0.874735,0.212605,0.086514,0,0.244669,0.486739,0.182927,0,0.301932,0.293785,0.364341,116
0.877563,0.214907,0.040712,0.004376,0.175084,0.196568,1.120427,0.021583,0.224638,0.293785,0.302326,116
0.886655,0.202357,0.040712,0.002188,0.105499,0.24337,1.047256,0.089209,0.113527,0.116761,0,117
0.809715,0.720778,0.035623,0.085886,0.141414,0.096724,0,0.067626,0.263285,0.120527,0.120155,117
0.857115,0.214362,0,0.007932,0.141414,0.049922,1.214939,0.089209,0.113527,0,0.302326,117
0.866746,0.196867,0.035623,2,0.03367,0.633385,0.929878,0.044604,0.038647,0.173258,0.062016,118
0.879498,0.21133,0.035623,0.00465,0.03367,0.049922,0.190549,1.438849,0.188406,0,0.05814,118
0.89183,0.197238,0.035623,0.00465,0.035915,0.293292,1,0.044604,0.038647,0.350282,0.848837,118
0.878289,0.208703,0,0.025711,0.069585,0.196568,0.166159,0.090647,0.227053,0.237288,0.24031,119
0.879196,0.209069,0,0.021335,0.666667,0.24337,0.175305,0.145324,0.425121,0.237288,0.24031,119
0.879357,0.209075,0,0.017232,0.105499,0.230889,0.094512,0.090647,0.227053,0.233522,0.910853,119
